Kod Sekolah,Bil,Peringkat Sekolah,PPD,NamaSekolah,AlamatSurat,PoskodSurat,BandarSurat,Negeri,NoTelefon,NoFax,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Alamat
YBB4324,9241,Rendah,PPD BARAM,SK SUNGAI BAIN,D/A PEJABAT PELAJARAN DAERAH BARAM,98050,MARUDI,SARAWAK,TIADA,TIADA,,,,,"SK SUNGAI BAIN, D/A PEJABAT PELAJARAN DAERAH BARAM, 98050, MARUDI, SARAWAK"
YBB4325,9242,Rendah,PPD BARAM,SK SG PEKING,D/A PEJABAT PELAJARAN DAERAH KECIL BARAM,98050,MARUDI,SARAWAK,,,,,,,"SK SG PEKING, D/A PEJABAT PELAJARAN DAERAH KECIL BARAM, 98050, MARUDI, SARAWAK"
YBB4326,9243,Rendah,PPD BARAM,SK LONG LOYANG,D/A PEJABAT PELAJARAN DAERAH MARUDI,98050,MARUDI,SARAWAK,132860067,TIADA,,,,,"SK LONG LOYANG, D/A PEJABAT PELAJARAN DAERAH MARUDI, 98050, MARUDI, SARAWAK"
YBB4327,9244,Rendah,PPD BARAM,SK LONG LAMEI,D/A PEJABAT PELAJARAN DAERAH BARAM,98050,MARUDI,SARAWAK,TIADA,TIADA,,,,,"SK LONG LAMEI, D/A PEJABAT PELAJARAN DAERAH BARAM, 98050, MARUDI, SARAWAK"
YBB4328,9245,Rendah,PPD BARAM,SK LONG SERIDAN,D/A PEJABAT PELAJARAN DAERAH BARAM,98050,MARUDI,SARAWAK,132860079,TIADA,,,,,"SK LONG SERIDAN, D/A PEJABAT PELAJARAN DAERAH BARAM, 98050, MARUDI, SARAWAK"
YBB4329,9246,Rendah,PPD BARAM,SK LONG KESSEH,D/A PEJABAT PENDIDIKAN DAERAH BARAM.,98050,MARUDI,SARAWAK,132860061,TIADA,,,,,"SK LONG KESSEH, D/A PEJABAT PENDIDIKAN DAERAH BARAM., 98050, MARUDI, SARAWAK"
YBB4330,9247,Rendah,PPD BARAM,SK LONG PILLAH,D/A PEJABAT PENDIDIKAN DAERAH BARAM,98050,BARAM,SARAWAK,,,,,,,"SK LONG PILLAH, D/A PEJABAT PENDIDIKAN DAERAH BARAM, 98050, BARAM, SARAWAK"
YBB4331,9248,Rendah,PPD BARAM,SK BARIO,D/A PEJABAT PELAJARAN DAERAH BARAM.,98050,MARUDI,SARAWAK,132860043,TIADA,,,,,"SK BARIO, D/A PEJABAT PELAJARAN DAERAH BARAM., 98050, MARUDI, SARAWAK"
YBB4332,9249,Rendah,PPD BARAM,SK SG BONG,D/A PEJABAT PELAJARAN DAERAH BARAM,98050,MARUDI,SARAWAK,,,,,,,"SK SG BONG, D/A PEJABAT PELAJARAN DAERAH BARAM, 98050, MARUDI, SARAWAK"
YBB4333,9250,Rendah,PPD BARAM,SK LONG MIRI,D/A PEJABAT PELAJARAN DAERAH BARAM,98050,MARUDI,SARAWAK,,,,,,,"SK LONG MIRI, D/A PEJABAT PELAJARAN DAERAH BARAM, 98050, MARUDI, SARAWAK"
YBB4334,9251,Rendah,PPD BARAM,SK LONG JEEH,D/A PEJABAT PELAJARAN DAERAH BARAM,98050,MARUDI,SARAWAK,132860082,TIADA,,,,,"SK LONG JEEH, D/A PEJABAT PELAJARAN DAERAH BARAM, 98050, MARUDI, SARAWAK"
YBB4335,9252,Rendah,PPD BARAM,SK LONG NAAH,D/A PEJABAT PELAJARAN DAERAH MARUDI,98050,MARUDI,SARAWAK,TIADA,TIADA,,,,,"SK LONG NAAH, D/A PEJABAT PELAJARAN DAERAH MARUDI, 98050, MARUDI, SARAWAK"
