Kod Sekolah,Bil,Peringkat Sekolah,PPD,NamaSekolah,AlamatSurat,PoskodSurat,BandarSurat,Negeri,NoTelefon,NoFax,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Alamat
CBD7096,2557,Rendah,PPD TEMERLOH,SJK(T) LDG LANCHANG, LADANG LANCHANG,28500,LANCHANG,PAHANG,122305803,TIADA,,,,,"SJK(T) LDG LANCHANG,  LADANG LANCHANG, 28500, LANCHANG, PAHANG"
CBDA097,2558,Rendah,PPD BERA,SJK(T) LDG MENTERI,TRIANG,28300,TRIANG,PAHANG,92505062,92506372,,,,,"SJK(T) LDG MENTERI, TRIANG, 28300, TRIANG, PAHANG"
CBDA098,2559,Rendah,PPD BERA,SJK(T) LDG KARMEN,LADANG KARMEN,28200,BERA,PAHANG,92446089,92446089,,,,,"SJK(T) LDG KARMEN, LADANG KARMEN, 28200, BERA, PAHANG"
CBDA099,2560,Rendah,PPD BERA,SJK(T) LDG KEMAYAN,BATU 3/4 JALAN BAHAU,28380,KEMAYAN,PAHANG,92407125,92407139,,,,,"SJK(T) LDG KEMAYAN, BATU 3/4 JALAN BAHAU, 28380, KEMAYAN, PAHANG"
CBK0026,2561,Rendah,PPD BENTONG,SJK(C) SG PENJURING,BATU 8,JALAN TRAS,28700,BENTONG,PAHANG,92379470,92379470,,,,"SJK(C) SG PENJURING, BATU 8, JALAN TRAS, 28700, BENTONG"
CBK1009,2562,Rendah,PPD CAMERON HIGHLANDS,SJK(C) KUALA TERLA,JALAN BESAR KUALA TERLA,39000,TANAH RATA,PAHANG,54981169,54981169,,,,,"SJK(C) KUALA TERLA, JALAN BESAR KUALA TERLA, 39000, TANAH RATA, PAHANG"
CBK9073,2563,Rendah,PPD MARAN,SJK(C) JERIK,SUNGAI JERIK,26400,BANDAR JENGKA,PAHANG,94788600,94788600,,,,,"SJK(C) JERIK, SUNGAI JERIK, 26400, BANDAR JENGKA, PAHANG"
CBKA081,2564,Rendah,PPD BERA,SJK(C) KEMAYAN,KEMAYAN,28380,KEMAYAN,PAHANG,92407911,92407910,,,,,"SJK(C) KEMAYAN, KEMAYAN, 28380, KEMAYAN, PAHANG"
CCT7001,2565,Rendah,PPD TEMERLOH,SRA ISLAM AT TAKWA,KM 4, TANJONG LALANG,JALAN MENTAKAB,28000,TEMERLOH,PAHANG,92901648,92901647,,,"SRA ISLAM AT TAKWA, KM 4,  TANJONG LALANG, JALAN MENTAKAB, 28000"
CEA0014,2566,Menengah,PPD BENTONG,SMK BENTONG,KAMPUNG BENUS,28700,BENTONG,PAHANG,92221163,92235081,,,,,"SMK BENTONG, KAMPUNG BENUS, 28700, BENTONG, PAHANG"
CEA0015,2567,Menengah,PPD BENTONG,SMK(LKTP)KG SERTIK,KG. SERTIK,,28610,KARAK,,PAHANG,92320203,92318772,,,"SMK(LKTP)KG SERTIK, KG. SERTIK, 28610, KARAK"
CEA0053,2568,Menengah,PPD BENTONG,SMK (FELDA) LURAH BILUT,LURAH BILUT,28800,LURAH BILUT,PAHANG,92301010,92377893,,,,,"SMK (FELDA) LURAH BILUT, LURAH BILUT, 28800, LURAH BILUT, PAHANG"
CEA0055,2569,Menengah,PPD BENTONG,SMK SERI PELANGAI,KAMPUNG SIMPANG PELANGAI,28740,BENTONG,PAHANG,92391141,92391325,,,,,"SMK SERI PELANGAI, KAMPUNG SIMPANG PELANGAI, 28740, BENTONG, PAHANG"
CEA0056,2570,Menengah,PPD BENTONG,SMK SERI BENTONG,KG. KARAK SETIA,,28600,KARAK,PAHANG,92312161,92313331,,,,"SMK SERI BENTONG, KG. KARAK SETIA, 28600, KARAK"
CEA0057,2571,Menengah,PPD BENTONG,SMK BUKIT TINGGI,JALAN LAMA BENTONG-KUALA LUMPUR, BUKIT TINGGI,,28750,BENTONG,PAHANG,92330684,92330684,,,"SMK BUKIT TINGGI, JALAN LAMA BENTONG-KUALA LUMPUR,  BUKIT TINGGI, 28750"
CEA0058,2572,Menengah,PPD BENTONG,SMK KUALA REPAS,KM 5, JALAN TRAS,28700,BENTONG,PAHANG,92228158,92201150,,,,"SMK KUALA REPAS, KM 5,  JALAN TRAS, 28700, BENTONG"
CEA0059,2573,Menengah,PPD BENTONG,SMK KARAK SETIA,KAMPONG KARAK SETIA,28600,KARAK,PAHANG,92320459,92311006,,,,,"SMK KARAK SETIA, KAMPONG KARAK SETIA, 28600, KARAK, PAHANG"
CEA1001,2574,Menengah,PPD CAMERON HIGHLANDS,SMK KAMPUNG RAJA,JALAN BESAR KAMPUNG RAJA,39010,TANAH RATA,PAHANG,54981971,54981971,,,,,"SMK KAMPUNG RAJA, JALAN BESAR KAMPUNG RAJA, 39010, TANAH RATA, PAHANG"
CEA1002,2575,Menengah,PPD CAMERON HIGHLANDS,SMK RINGLET,JALAN BESAR RINGLET,39200,TANAH RATA,PAHANG,54956619,54956621,,,,,"SMK RINGLET, JALAN BESAR RINGLET, 39200, TANAH RATA, PAHANG"
CEA2029,2576,Menengah,PPD JERANTUT,SMK PULAU TAWAR,KAMPUNG PULAU TAWAR,27050,JERANTUT,PAHANG,92671171,92671171,,,,,"SMK PULAU TAWAR, KAMPUNG PULAU TAWAR, 27050, JERANTUT, PAHANG"
CEA2030,2577,Menengah,PPD JERANTUT,SMK KUALA TEMBELING,KUALA TEMBELING,27020,JERANTUT,PAHANG,93086133,93086244,,,,,"SMK KUALA TEMBELING, KUALA TEMBELING, 27020, JERANTUT, PAHANG"
CEA2045,2578,Menengah,PPD JERANTUT,SMK PADANG PIOL,FELDA PADANG PIOL,27040,JERANTUT,PAHANG,92668337,92668113,,,,,"SMK PADANG PIOL, FELDA PADANG PIOL, 27040, JERANTUT, PAHANG"
CEA2046,2579,Menengah,PPD JERANTUT,SMK PADANG SAUJANA,JALAN PEJABAT KERAJAAN,27000,JERANTUT,PAHANG,92601310,92601311,,,,,"SMK PADANG SAUJANA, JALAN PEJABAT KERAJAAN, 27000, JERANTUT, PAHANG"
CEA2047,2580,Menengah,PPD JERANTUT,SMK DAMAK,KAMPUNG DAMAK,27030,JERANTUT,PAHANG,92681700,92681211,,,,,"SMK DAMAK, KAMPUNG DAMAK, 27030, JERANTUT, PAHANG"
CEA2048,2581,Menengah,PPD JERANTUT,SMK TEMIN,KM.5 JALAN TEMERLOH,27000,JERANTUT,PAHANG,92662722,92667722,,,,,"SMK TEMIN, KM.5 JALAN TEMERLOH, 27000, JERANTUT, PAHANG"
CEA2049,2582,Menengah,PPD JERANTUT,SMK KOTA GELANGGI 2,(LKTP) KOTA GELANGGI 02,27000,JERANTUT,PAHANG,94811592,94812785,,,,,"SMK KOTA GELANGGI 2, (LKTP) KOTA GELANGGI 02, 27000, JERANTUT, PAHANG"
CEA2050,2583,Menengah,PPD JERANTUT,SMK JUBLI PERAK, SULTAN HAJI AHMAD SHAH,KUALA TAHAN,27000,JERANTUT,PAHANG,92601130,92601132,,,,"SMK JUBLI PERAK,  SULTAN HAJI AHMAD SHAH, KUALA TAHAN, 27000, JERANTUT"
CEA2051,2584,Menengah,PPD JERANTUT,SMK P. PENYELIDIKAN PERTANIAN TUN RAZAK,PUSAT PENYELIDIKAN PERTANIAN TUN RAZAK,27000,JERANTUT,PAHANG,94718605,94719200,,,,,"SMK P. PENYELIDIKAN PERTANIAN TUN RAZAK, PUSAT PENYELIDIKAN PERTANIAN TUN RAZAK, 27000, JERANTUT, PAHANG"
CEA2052,2585,Menengah,PPD JERANTUT,SMK SUNGAI RETANG,FELDA SUNGAI RETANG,27000,JERANTUT,PAHANG,93132050,93132094,,,,,"SMK SUNGAI RETANG, FELDA SUNGAI RETANG, 27000, JERANTUT, PAHANG"
CEA2053,2586,Menengah,PPD JERANTUT,SMK INDERAPURA,KM1 JALAN BENTA,27000,JERANTUT,PAHANG,92601261,92601264,,,,,"SMK INDERAPURA, KM1 JALAN BENTA, 27000, JERANTUT, PAHANG"
CEA2054,2587,Menengah,PPD JERANTUT,SMK JENGKA 24,FELDA JENGKA 24,26400,BANDAR TUN ABDUL RAZAK, J,PAHANG,94863877,94864191,,,,"SMK JENGKA 24, FELDA JENGKA 24, 26400, BANDAR TUN ABDUL RAZAK,  J"
CEA3034,2588,Menengah,PPD LIPIS,SMK ORANG KAYA HAJI,JALAN TOK KAYA SENTUL,27200,KUALA LIPIS,PAHANG,93121211,93101141,,,,,"SMK ORANG KAYA HAJI, JALAN TOK KAYA SENTUL, 27200, KUALA LIPIS, PAHANG"
CEA3035,2589,Menengah,PPD LIPIS,SMK PADANG TENGKU,PADANG TENGKU,27100,KUALA LIPIS,PAHANG,93293111,93293112,,,,,"SMK PADANG TENGKU, PADANG TENGKU, 27100, KUALA LIPIS, PAHANG"
CEA3036,2590,Menengah,PPD LIPIS,SMK BENTA,BENTA,27300,BENTA,PAHANG,93238108,93238108,,,,,"SMK BENTA, BENTA, 27300, BENTA, PAHANG"
CEA3055,2591,Menengah,PPD LIPIS,SMK (FELDA) SG KOYAN,FELDA SG KOYAN 3,27650,RAUB,PAHANG,93401433,93403011,,,,,"SMK (FELDA) SG KOYAN, FELDA SG KOYAN 3, 27650, RAUB, PAHANG"
CEA3056,2592,Menengah,PPD LIPIS,SMK MERAPOH,MERAPOH,27210,KUALA LIPIS,PAHANG,99124622,99121578,,,,,"SMK MERAPOH, MERAPOH, 27210, KUALA LIPIS, PAHANG"
CEA3057,2593,Menengah,PPD LIPIS,SMK SERI LIPIS,KM8 JALAN LIPIS PADANG TENGKU,27200,KUALA LIPIS,PAHANG,93101321,93101320,,,,,"SMK SERI LIPIS, KM8 JALAN LIPIS PADANG TENGKU, 27200, KUALA LIPIS, PAHANG"
CEA3058,2594,Menengah,PPD LIPIS,SMK KERAMBIT,KERAMBIT,27200,KUALA LIPIS,PAHANG,93101251,93101252,,,,,"SMK KERAMBIT, KERAMBIT, 27200, KUALA LIPIS, PAHANG"
CEA3059,2595,Menengah,PPD LIPIS,SMK KUALA LANAR,KG. KUALA LANAR,,27200,KUALA LIPIS,PAHANG,93101112,93101110,,,,"SMK KUALA LANAR, KG. KUALA LANAR, 27200, KUALA LIPIS"
CEA4022,2596,Menengah,PPD KUANTAN,SMK ABDUL RAHMAN TALIB,JALAN ALOR AKAR,25250,KUANTAN,PAHANG,95602244,95679250,,,,,"SMK ABDUL RAHMAN TALIB, JALAN ALOR AKAR, 25250, KUANTAN, PAHANG"
CEA4023,2597,Menengah,PPD KUANTAN,SMK ALOR AKAR,JALAN TENGKU MUHAMAD,25050,KUANTAN,PAHANG,95666746,95672766,,,,,"SMK ALOR AKAR, JALAN TENGKU MUHAMAD, 25050, KUANTAN, PAHANG"
CEA4024,2598,Menengah,PPD KUANTAN,SMK BESERAH,KM 10  JALAN KEMAMAN,26100,KUANTAN,PAHANG,95447439,95447458,,,,,"SMK BESERAH, KM 10  JALAN KEMAMAN, 26100, KUANTAN, PAHANG"
CEA4026,2599,Menengah,PPD KUANTAN,SMK PAYA BESAR,KM 7 JLN.GAMBANG,25150,KUANTAN,PAHANG,95365509,95362076,,,,,"SMK PAYA BESAR, KM 7 JLN.GAMBANG, 25150, KUANTAN, PAHANG"
CEA4071,2600,Menengah,PPD KUANTAN,SMK BUKIT GOH,FELDA BUKIT GOH,26050,KUANTAN,PAHANG,95478932,95477506,,,,,"SMK BUKIT GOH, FELDA BUKIT GOH, 26050, KUANTAN, PAHANG"
CEA4073,2601,Menengah,PPD KUANTAN,SMK SERI PANCHING,KM 5, JALAN PANCHING,,26010,KUANTAN,PAHANG,95421080,95421732,,,"SMK SERI PANCHING, KM 5,  JALAN PANCHING, 26010"
CEA4074,2602,Menengah,PPD KUANTAN,SMK TANJONG LUMPUR,KEMPADANG,25150,KUANTAN,PAHANG,95341416,95341689,,,,,"SMK TANJONG LUMPUR, KEMPADANG, 25150, KUANTAN, PAHANG"
CEA4075,2603,Menengah,PPD KUANTAN,SMK TG PANGLIMA PERANG TG MUHAMMAD,BANDAR INDERA MAHKOTA,25200,KUANTAN,PAHANG,95732868,95739726,,,,,"SMK TG PANGLIMA PERANG TG MUHAMMAD, BANDAR INDERA MAHKOTA, 25200, KUANTAN, PAHANG"
CEA4076,2604,Menengah,PPD KUANTAN,SMK LEPAR HILIR,JALAN LEPAR  1 GAMBANG,26300,KUANTAN,PAHANG,95486748,95486479,,,,,"SMK LEPAR HILIR, JALAN LEPAR  1 GAMBANG, 26300, KUANTAN, PAHANG"
CEA4077,2605,Menengah,PPD JERANTUT,SM LEPAR UTARA,BANDAR JENGKA,26400,BANDAR JENGKA,PAHANG,94741582,94741999,,,,,"SM LEPAR UTARA, BANDAR JENGKA, 26400, BANDAR JENGKA, PAHANG"
CEA4078,2606,Menengah,PPD KUANTAN,SMK PANDAN,KM 12, JALAN GAMBANG,25150,KUANTAN,PAHANG,95384944,95394792,,,,"SMK PANDAN, KM 12,  JALAN GAMBANG, 25150, KUANTAN"
CEA4079,2607,Menengah,PPD KUANTAN,SMK TOK SERA,JLN TG MUHAMAD,25050,KUANTAN,PAHANG,95686810,95601011,,,,,"SMK TOK SERA, JLN TG MUHAMAD, 25050, KUANTAN, PAHANG"
CEA4080,2608,Menengah,PPD KUANTAN,SMK INDERA MAHKOTA  2,JALAN SULTAN ABU BAKAR,25200,KUANTAN,PAHANG,95735014,95737010,,,,,"SMK INDERA MAHKOTA  2, JALAN SULTAN ABU BAKAR, 25200, KUANTAN, PAHANG"
CEA4081,2609,Menengah,PPD KUANTAN,SMK BUKIT RANGIN,BUKIT RANGIN,25150,KUANTAN,PAHANG,95366235,95361457,,,,,"SMK BUKIT RANGIN, BUKIT RANGIN, 25150, KUANTAN, PAHANG"
CEA4082,2610,Menengah,PPD KUANTAN,SMK GUDANG RASAU,KM9,JALAN GAMBANG,25150,KUANTAN,PAHANG,95362121,95362122,,,,"SMK GUDANG RASAU, KM9, JALAN GAMBANG, 25150, KUANTAN"
CEA4083,2611,Menengah,PPD KUANTAN,SMK PELABUHAN,TAMAN BALOK MAKMUR, GEBENG,26100,KUANTAN,PAHANG,95801320,95801321,,,,"SMK PELABUHAN, TAMAN BALOK MAKMUR,  GEBENG, 26100, KUANTAN"
CEA4084,2612,Menengah,PPD KUANTAN,SMK SEMAMBU,DEPAN QTRS LOJI AIR SEMAMBU,25350,KUANTAN,PAHANG,95689867,95689341,,,,,"SMK SEMAMBU, DEPAN QTRS LOJI AIR SEMAMBU, 25350, KUANTAN, PAHANG"
CEA4085,2613,Menengah,PPD KUANTAN,SMK SERI DAMAI,KG. SERI DAMAI,KM 12 JLN GAMBANG,25150,KUANTAN,PAHANG,95397372,95398240,,,,"SMK SERI DAMAI, KG. SERI DAMAI, KM 12 JLN GAMBANG, 25150, KUANTAN"
CEA4086,2614,Menengah,PPD KUANTAN,SEKOLAH MENENGAH KEBANGSAAN SULTANAH HAJJAH KALSOM,BANDAR DAMANSARA,26100,KUANTAN,PAHANG,95602777,95671620,,,,,"SEKOLAH MENENGAH KEBANGSAAN SULTANAH HAJJAH KALSOM, BANDAR DAMANSARA, 26100, KUANTAN, PAHANG"
CEA4087,2615,Menengah,PPD KUANTAN,SMK SUNGAI ISAP,PERMATANG BADAK,25150,KUANTAN,PAHANG,95363766,95365336,,,,,"SMK SUNGAI ISAP, PERMATANG BADAK, 25150, KUANTAN, PAHANG"
CEA4088,2616,Menengah,PPD KUANTAN,SMK ASTANA,JALAN  SUNGAI LEMBING,25200,KUANTAN,PAHANG,95721522,95721520,,,,,"SMK ASTANA, JALAN  SUNGAI LEMBING, 25200, KUANTAN, PAHANG"
CEA4089,2617,Menengah,PPD KUANTAN,SMK SUNGAI SOI,JALAN PANTAI SEPAT,25150,KUANTAN,PAHANG,95341837,95341833,,,,,"SMK SUNGAI SOI, JALAN PANTAI SEPAT, 25150, KUANTAN, PAHANG"
CEA4090,2618,Menengah,PPD KUANTAN,SMK CENDERAWASIH,BANDAR INDERA MAHKOTA,25200,KUANTAN,PAHANG,95721025,95721020,,,,,"SMK CENDERAWASIH, BANDAR INDERA MAHKOTA, 25200, KUANTAN, PAHANG"
CEA4091,2619,Menengah,PPD KUANTAN,SMK SUNGAI BAGING,KM 36 JALAN KEMAMAN,26080,KUANTAN,PAHANG,95818111,95818112,,,,,"SMK SUNGAI BAGING, KM 36 JALAN KEMAMAN, 26080, KUANTAN, PAHANG"
CEA4092,2620,Menengah,PPD KUANTAN,SMK MAT KILAU,JALAN KUANTAN PEKAN,25150,KUANTAN,PAHANG,95341088,95341090,,,,,"SMK MAT KILAU, JALAN KUANTAN PEKAN, 25150, KUANTAN, PAHANG"
CEA4093,2621,Menengah,PPD KUANTAN,SMK TELUK CHEMPEDAK,TELUK CHEMPEDAK,25050,KUANTAN,PAHANG,95601842,95601840,,,,,"SMK TELUK CHEMPEDAK, TELUK CHEMPEDAK, 25050, KUANTAN, PAHANG"
CEA4094,2622,Menengah,PPD KUANTAN,SMK PELINDUNG,JALAN KG. PELINDUNG 5, BESERAH,26100,KUANTAN,PAHANG,95608026,95608028,,,,"SMK PELINDUNG, JALAN KG. PELINDUNG 5,  BESERAH, 26100, KUANTAN"
CEA4095,2623,Menengah,PPD KUANTAN,SMK GAMBANG,JALAN GAMBANG,26300,KUANTAN,PAHANG,95495043,95495041,,,,,"SMK GAMBANG, JALAN GAMBANG, 26300, KUANTAN, PAHANG"
CEA4096,2624,Menengah,PPD KUANTAN,SMK PADANG GARUDA,JALAN LAPANGAN TERBANG SHAH KAMPUNG PANDAN 1,26070,KUANTAN,PAHANG,09-5381016,09-5381017,,,,,"SMK PADANG GARUDA, JALAN LAPANGAN TERBANG SHAH KAMPUNG PANDAN 1, 26070, KUANTAN, PAHANG"
CEA4097,2625,Menengah,PPD KUANTAN,SMK BUKIT SAGU,FELDA BUKIT SAGU ,25740,KUANTAN,PAHANG,95476196,95476195,,,,,"SMK BUKIT SAGU, FELDA BUKIT SAGU , 25740, KUANTAN, PAHANG"
CEA4098,2626,Menengah,PPD KUANTAN,SMK SUNGAI ISAP MURNI,PERKAMPUNGAN SUNGAI ISAP MURNI,25150,KUANTAN,PAHANG,95361493,95361537,,,,,"SMK SUNGAI ISAP MURNI, PERKAMPUNGAN SUNGAI ISAP MURNI, 25150, KUANTAN, PAHANG"
CEA4099,2627,Menengah,PPD KUANTAN,SEKOLAH SUKAN MALAYSIA PAHANG,JALAN BANDAR GAMBANG 10,26300,GAMBANG,PAHANG,95497000,95497001,,,,,"SEKOLAH SUKAN MALAYSIA PAHANG, JALAN BANDAR GAMBANG 10, 26300, GAMBANG, PAHANG"
CEA5053,2628,Menengah,PPD PEKAN,SMK DATO' MAHMUD MAT,TANAH PUTEH,,26600,PEKAN,PAHANG,94269145,94264171,,,,"SMK DATO' MAHMUD MAT, TANAH PUTEH, 26600, PEKAN"
CEA5054,2629,Menengah,PPD PEKAN,SMK TENGKU ABDULLAH,JALAN HAJI MONTOK,26600,PEKAN,PAHANG,94221261,94227546,,,,,"SMK TENGKU ABDULLAH, JALAN HAJI MONTOK, 26600, PEKAN, PAHANG"
CEA5056,2630,Menengah,PPD PEKAN,SMK PALOH HINAI,PALOH HINAI,26650,PEKAN,PAHANG,94291235,94291103,,,,,"SMK PALOH HINAI, PALOH HINAI, 26650, PEKAN, PAHANG"
CEA5060,2631,Menengah,PPD ROMPIN,SMK MUADZAM SHAH,JALAN SEKOLAH,26700,MUADZAM SHAH,PAHANG,94522171,94526177,,,,,"SMK MUADZAM SHAH, JALAN SEKOLAH, 26700, MUADZAM SHAH, PAHANG"
CEA5061,2632,Menengah,PPD PEKAN,SMK (LKTP) CHINI,FELDA CHINI 2,26690,CHINI,PAHANG,94566163,94565133,,,,,"SMK (LKTP) CHINI, FELDA CHINI 2, 26690, CHINI, PAHANG"
CEA5071,2633,Menengah,PPD PEKAN,SMK NENASI,KG.NENASI(45KM DARI BANDAR PEKAN KE BANDAR ROMPIN),26680,PEKAN,PAHANG,94181080,94181549,,,,,"SMK NENASI, KG.NENASI(45KM DARI BANDAR PEKAN KE BANDAR ROMPIN), 26680, PEKAN, PAHANG"
CEA5072,2634,Menengah,PPD PEKAN,SEKOLAH SULTAN HAJI AHMAD SHAH PEKAN,JALAN SULTAN ABU BAKAR,26600,PEKAN,PAHANG,94224616,94225453,,,,,"SEKOLAH SULTAN HAJI AHMAD SHAH PEKAN, JALAN SULTAN ABU BAKAR, 26600, PEKAN, PAHANG"
CEA5073,2635,Menengah,PPD PEKAN,SMK CHINI TIMUR,FELDA CHINI TIMUR 2,,26690,CHINI,PAHANG,94571559,94571921,,,,"SMK CHINI TIMUR, FELDA CHINI TIMUR 2, 26690, CHINI"
CEA5074,2636,Menengah,PPD PEKAN,SMK SERI PEKAN,BANDAR BARU PERAMU,26600,PEKAN,PAHANG,94264221,94264220,,,,,"SMK SERI PEKAN, BANDAR BARU PERAMU, 26600, PEKAN, PAHANG"
CEA5075,2637,Menengah,PPD PEKAN,SMK INDERA SHAHBANDAR,KUALA PAHANG,26660,PEKAN,PAHANG,94251261,94251260,,,,,"SMK INDERA SHAHBANDAR, KUALA PAHANG, 26660, PEKAN, PAHANG"
CEA5076,2638,Menengah,PPD PEKAN,SMK PEKAN,KM. 3.5 JALAN PEKAN - NENASI,26600,PEKAN,PAHANG,94227661,94227695,,,,,"SMK PEKAN, KM. 3.5 JALAN PEKAN - NENASI, 26600, PEKAN, PAHANG"
CEA5077,2639,Menengah,PPD PEKAN,SMK UBAI,KAMPUNG UBAI,26610,PEKAN,PAHANG,94264605,94260043,,,,,"SMK UBAI, KAMPUNG UBAI, 26610, PEKAN, PAHANG"
CEA5078,2640,Menengah,PPD PEKAN,SMK LEPAR,KM 43.5 LEBUH RAYA TUN ABDUL RAZAK,26300,GAMBANG,PAHANG,95462392,95465794,,,,,"SMK LEPAR, KM 43.5 LEBUH RAYA TUN ABDUL RAZAK, 26300, GAMBANG, PAHANG"
CEA5079,2641,Menengah,PPD PEKAN,SMK PERAMU JAYA,PERAMU JAYA,26600,PEKAN,PAHANG,94101310,94101311,,,,,"SMK PERAMU JAYA, PERAMU JAYA, 26600, PEKAN, PAHANG"
CEA5080,2642,Menengah,PPD PEKAN,SMK CHINI 2,PUSAT PENTADBIRAN DARA,26690,CHINI,PAHANG,94565628,94568830,,,,,"SMK CHINI 2, PUSAT PENTADBIRAN DARA, 26690, CHINI, PAHANG"
CEA6021,2643,Menengah,PPD RAUB,SM (SAINS) TENGKU ABDULLAH,KM 6, JALAN LIPIS,27600,RAUB,PAHANG,93551600,93553511,,,,"SM (SAINS) TENGKU ABDULLAH, KM 6,  JALAN LIPIS, 27600, RAUB"
CEA6022,2644,Menengah,PPD RAUB,SMK TENGKU KUDIN,JALAN CHEROH,27600,RAUB,PAHANG,93551185,93561289,,,,,"SMK TENGKU KUDIN, JALAN CHEROH, 27600, RAUB, PAHANG"
CEA6023,2645,Menengah,PPD RAUB,SMK DONG,KM 16, JALAN LIPIS, KAMPUNG  DONG,27400,RAUB,PAHANG,93658225,93659748,,,"SMK DONG, KM 16,  JALAN LIPIS,  KAMPUNG  DONG, 27400"
CEA6024,2646,Menengah,PPD RAUB,SMK LKTP TERSANG,FELDA TERSANG 2,27610,RAUB,PAHANG,93403931,93403930,,,,,"SMK LKTP TERSANG, FELDA TERSANG 2, 27610, RAUB, PAHANG"
CEA6025,2647,Menengah,PPD RAUB,SMK SERI RAUB,JALAN SIMPANG KALLANG,27600,RAUB,PAHANG,93501111,93501110,,,,,"SMK SERI RAUB, JALAN SIMPANG KALLANG, 27600, RAUB, PAHANG"
CEA6026,2648,Menengah,PPD RAUB,SMK GALI,KM 9 JALAN KUALA LIPIS,27600,RAUB,PAHANG,93630339,TIADA,,,,,"SMK GALI, KM 9 JALAN KUALA LIPIS, 27600, RAUB, PAHANG"
CEA7060,2649,Menengah,PPD TEMERLOH,SMK KERDAU,KM 18, JALAN TEMERLOH JERANTUT,28010,TEMERLOH,PAHANG,92846044,92847671,,,,"SMK KERDAU, KM 18,  JALAN TEMERLOH JERANTUT, 28010, TEMERLOH"
CEA7063,2650,Menengah,PPD TEMERLOH,SMK TEMERLOH,JALAN MENTAKAB,28000,TEMERLOH,PAHANG,92961316,92967316,,,,,"SMK TEMERLOH, JALAN MENTAKAB, 28000, TEMERLOH, PAHANG"
CEA7064,2651,Menengah,PPD TEMERLOH,SMK KUALA KRAU,KUALA KRAU,JALAN JERANTUT,28050,KUALA KRAU,PAHANG,92861225,92862780,,,,"SMK KUALA KRAU, KUALA KRAU, JALAN JERANTUT, 28050, KUALA KRAU"
CEA7065,2652,Menengah,PPD TEMERLOH,SMK DATUK BAHAMAN,LANCHANG,28500,LANCHANG,PAHANG,92803252,92803933,,,,,"SMK DATUK BAHAMAN, LANCHANG, 28500, LANCHANG, PAHANG"
CEA7066,2653,Menengah,PPD TEMERLOH,SMK SERI SEMANTAN,BATU 2 1/2 JALAN KARAK,28400,MENTAKAB,PAHANG,92776408,92777552,,,,,"SMK SERI SEMANTAN, BATU 2 1/2 JALAN KARAK, 28400, MENTAKAB, PAHANG"
CEA7067,2654,Menengah,PPD TEMERLOH,SMK SERI TUALANG,KM 125 JLN PINTASAN TEMERLOH/MENTAKAB,28000,TEMERLOH,PAHANG,92901061,92901060,,,,,"SMK SERI TUALANG, KM 125 JLN PINTASAN TEMERLOH/MENTAKAB, 28000, TEMERLOH, PAHANG"
CEA7068,2655,Menengah,PPD TEMERLOH,SMK BUKIT DAMAR,JALAN FELDA BUKIT DAMAR,28500,LANCHANG,PAHANG,92805113,92805237,,,,,"SMK BUKIT DAMAR, JALAN FELDA BUKIT DAMAR, 28500, LANCHANG, PAHANG"
CEA7069,2656,Menengah,PPD TEMERLOH,SMK TEMERLOH JAYA,TAMAN TEMERLOH JAYA,28000,TEMERLOH,PAHANG,92901420,92901421,,,,,"SMK TEMERLOH JAYA, TAMAN TEMERLOH JAYA, 28000, TEMERLOH, PAHANG"
CEA7070,2657,Menengah,PPD TEMERLOH,SMK PAYA PULAI,KM 11 JALAN MARAN,28000,TEMERLOH,PAHANG,92986833,92986494,,,,,"SMK PAYA PULAI, KM 11 JALAN MARAN, 28000, TEMERLOH, PAHANG"
CEA7071,2658,Menengah,PPD TEMERLOH,SMK TELUK SENTANG,JALAN SEBERANG TEMERLOH,28000,TEMERLOH,PAHANG,92791767,92792026,,,,,"SMK TELUK SENTANG, JALAN SEBERANG TEMERLOH, 28000, TEMERLOH, PAHANG"
CEA7072,2659,Menengah,PPD TEMERLOH,SMK BUKIT CERMIN,JALAN MENTAKAB,28400,MENTAKAB,PAHANG,92771802,92771801,,,,,"SMK BUKIT CERMIN, JALAN MENTAKAB, 28400, MENTAKAB, PAHANG"
CEA7073,2660,Menengah,PPD TEMERLOH,SMK LANCHANG,LANCHANG,28500,LANCHANG,PAHANG,92805236,92803630,,,,,"SMK LANCHANG, LANCHANG, 28500, LANCHANG, PAHANG"
CEA7136,2661,Menengah,PPD BENTONG,SMK (FELDA) CHEMOMOI,FELDA CHEMOMOI,28310,TRIANG,PAHANG,92458393,92457352,,,,,"SMK (FELDA) CHEMOMOI, FELDA CHEMOMOI, 28310, TRIANG, PAHANG"
CEA7160,2662,Menengah,PPD TEMERLOH,SMK SEBERANG TEMERLOH,JALAN MARAN,28000,TEMERLOH,PAHANG,92972379,92972711,,,,,"SMK SEBERANG TEMERLOH, JALAN MARAN, 28000, TEMERLOH, PAHANG"
CEA8017,2663,Menengah,PPD ROMPIN,SMK ROMPIN,JALAN TUAN SYED OTHMAN,26800,KUALA ROMPIN,PAHANG,94145228,94142075,,,,,"SMK ROMPIN, JALAN TUAN SYED OTHMAN, 26800, KUALA ROMPIN, PAHANG"
