no_number,namaklinik_value,alamat_description,bandar_value,negeri_value,col_link,col_link/_text,col_link/_title,col_image,col_image/_alt
"1687","Klinik Desa Sungai Tengi","44010 Hulu Selangor","Kuala Kubu Baru","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1687","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1688","Klinik Desa Sungai Tengi Kanan","45500 Tanjung Karang","Tanjung Karang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1688","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1689","Klinik Desa Sungai Tengi Selatan","44010 Hulu Selangor","Tanjung Karang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1689","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1697","Klinik Desa Sungai Udang","Lot 2183, jalan Sungai Udang","Klang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1697","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1735","Klinik Desa Tanjong Selangor","26660 Kg.Tanjung Selangor","Pekan","Pahang","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1735","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1768","Klinik Desa Tebuk Mufrat","Batu 1, Jalan Feri, Jalan Tebuk Mufrat","Sabak Bernam","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1768","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1779","Klinik Desa Telok Bunut","42700 Banting","Banting","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1779","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1780","Klinik Desa Telok Gong","Jalan Telok Gong","Klang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1780","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1787","Klinik Desa Telok Menegon","Batu 3, Jalan Syahbandaraya","Klang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1787","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1807","Klinik Desa Teluk Rhu","Jalan Besar Kg. Teluk Rhu","Sabak Bernam","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1807","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1844","Klinik Desa Tiram Setia","45500 Tanjung Karang","Tanjung Karang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1844","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1878","Klinik Desa Tumbuk Darat","42800 Tanjung Sepat","Tanjung Sepat","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1878","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1885","Klinik Desa Ulu Bernam","35900 Hulu Selangor","Hulu Bernam","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1885","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1889","Klinik Desa Ulu Cucuh","43950 Sungai Pelek, Sepang","Sungai Pelek","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1889","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1906","Klinik Desa Ulu Yam Lama","JKR NO 809","Hulu Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1906","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1927","Klinik Kesihatan Ampang","68000 Ampang","Ampang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1930","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1935","Klinik Kesihatan AU2","Taman Seri Keramat","Ampang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1938","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1949","Klinik Kesihatan Bagan Terap","Jalan Bagan Terap","Sungai Besar","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1952","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1966","Klinik Kesihatan Bandar Baru Bangi","Persiaran Pekeliling, Seksyen 3","Bandar Baru Bangi","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1969","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1989","Klinik Kesihatan Batu 9 Cheras","43700 Cheras","Cheras","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1992","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1991","Klinik Kesihatan Batu Arang","JKR G/1325","Batu Arang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1994","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"2013","Klinik Kesihatan Beranang","Jalan Besar","Beranang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/2016","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"2020","Klinik Kesihatan Bestari Jaya","Lot 1867 Jalan Kampong","Kuala Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/2023","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"2037","Klinik Kesihatan Bukit Changgang","Kuala Langat","Kuala Langat","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/2040","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"2044","Klinik Kesihatan Bukit Kuda","Jalan Batu Tiga Lama,","Klang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/2047","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"2053","Klinik Kesihatan Bukit Sentosa","Jalan Seroja, 1A Bukit Sentosa, Hulu Selangor","Hulu Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/2056","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"2092","Klinik Kesihatan Dengkil","Batu 30 Jalan Kajang/Dengkil","Dengkil","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/2095","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"2121","Klinik Kesihatan Hulu Langat","Batu 14","Hulu Langat","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/2124","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"2140","Klinik Kesihatan Ibu Dan Anak Cheras Baru","Jalan 49 Bukit E","Kuala Lumpur","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/2143","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"2144","Klinik Kesihatan Ibu Dan Anak Gombak Setia","JKR G/922 Jln.Sekolah","Gombak Setia","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/2147","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"2158","Klinik Kesihatan Ibu Dan Anak Kampung Pandan","KKIA Kampung Pandan, Kuala Lumpur","Kuala Lumpur","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/2161","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"2159","Klinik Kesihatan Ibu Dan Anak Kanchong Darat","Kuala Langat","Kuala Langat","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/2162","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"2171","Klinik Kesihatan Ibu Dan Anak Kuala Kubu Baru","Jalan Kolam Air","Kuala Kubu Baru","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/2175","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"2200","Klinik Kesihatan Ibu Dan Anak Sabak Bernam","Jln Raja Chulan","Sabak Bernam","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/2204","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"2228","Klinik Kesihatan Ijok","JKR1087 Jalan Simpang Tiga Ijok, 45600 Bestari Jaya","Ijok","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/2232","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
