no_number,namaklinik_value,alamat_description,bandar_value,negeri_value,col_link,col_link/_text,col_link/_title,col_image,col_image/_alt
"3","Klinik Desa Sungai Lima","42490 Pulau Ketam","Klang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/3","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"54","Klinik Desa Asam Jawa","45700 Bukit Rotan","Kuala Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/54","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"73","Klinik Desa Bagan Pasir","Jalan Bagan Pasir 45500 Tanjung Karang","Kuala Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/73","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"77","Klinik Desa Bagan Teochew","42490 Pulau Ketam","Klang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/77","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"84","Klinik Desa Balakong","43300 Balakong","Hulu Langat","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/84","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"98","Klinik Desa Bangi Lama","43000 Kajang","Bangi","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/98","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"105","Klinik Desa Batang Kali","44300 Hulu Selangor","Batang Kali","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/105","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"112","Klinik Desa Batu 13 1/2,","Puchong","Petaling","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/112","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"115","Klinik Desa Batu 18","43100 Hulu Langat","Hulu Langat","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/115","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"127","Klinik Desa Batu 4 Sepintas","Jalan Sekolah","Sabak Bernam","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/127","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"140","Klinik Desa Batu Belah Klang","Jalan Istimewa","Klang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/140","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"152","Klinik Desa Batu Laut","42800 Kuala Langat","Kuala Langat","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/152","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"209","Klinik Desa Berjuntai Bistari","Kampung Berjuntai Bistari, Bestari Jaya","Kuala Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/209","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"233","Klinik Desa Broga","43500 Semenyih","Semenyih","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/233","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"242","Klinik Desa Bukit Badong","Jalan Dato' Karjan","Kuala Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/242","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"244","Klinik Desa Bukit Bangkong","43950 Sungai Pelek","Sepang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/244","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"246","Klinik Desa Bukit Belimbing","45000 Kuala Selangor","Kuala Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/246","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"250","Klinik Desa Bukit Cerakah","45800 Jeram","Kuala Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/250","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"268","Klinik Desa Bukit Kapar","Jalan Iskandar","Meru","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/268","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"273","Klinik Desa Bukit Kerayong","45800 Jeram","Kuala Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/273","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"276","Klinik Desa Bukit Kuching","45800 Jeram","Kuala Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/276","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"285","Klinik Desa Bukit Naga","Batu 6, Jalan Klinik","Klang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/285","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"377","Klinik Desa Dato Abu Bakar Baginda","","Kajang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/377","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"390","Klinik Desa Dusun Tua","Batu 16, Hulu Langat","Hulu Langat","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/390","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"437","Klinik Desa Geching","Jalan Desa Harapan","Salak Tinggi","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/437","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"438","Klinik Desa Gedangsa","44020 Hulu Selangor","Hulu Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/438","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"449","Klinik Desa Genting Malek","44300 Hulu Selangor","Hulu Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/449","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"454","Klinik Desa Gombak Utara (Bt. 8)","Batu 8,53000 Gombak","Gombak","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/454","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"478","Klinik Desa Hulu Kelang","Jalan Datok Abu Samah Kampong Pasir","Ulu Klang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/478","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"479","Klinik Desa Hulu Rening","44300 Hulu Selangor","Kuala Kubu Baru","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/479","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"489","Klinik Desa Jalan Kebun","Batu 7 Jalan Kebun","Klang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/489","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"507","Klinik Desa Jenderam","Kg Jenderam Hulu, 43800 Dengkil","Dengkil","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/507","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"557","Klinik Desa Kampong Padang","Batu 10, Hulu Langat","Hulu Langat","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/557","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"577","Klinik Desa Kampung Banting","Jalan Kg. Banting","Sabak Bernam","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/577","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"583","Klinik Desa Kampung Baru","Jalan Kg. Baru","Sabak Bernam","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/583","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"584","Klinik Desa Kampung Batu 38","Jalan Sekendi Batu 38","Sabak Bernam","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/584","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"596","Klinik Desa Kampung Budiman","Jalan Paip, Meru","Klang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/596","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"609","Klinik Desa Kampung Damansara","Jln.17A/9 Seksyen 17","Petaling Jaya","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/609","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"614","Klinik Desa Kampung Endah","42700 Banting","Kuala Langat","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/614","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"620","Klinik Desa Kampung Gesir Tengah","44020 Hulu Selangor","Hulu Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/620","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"626","Klinik Desa Kampung Jawa","Batu 2, Jalan Syahbandaraya","Klang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/626","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"630","Klinik Desa Kampung Jaya Setia","45600 Bestari Jaya","Bestari Jaya","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/630","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"632","Klinik Desa Kampung Jenjarom","42600 Jenjarom","Kuala Langat","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/632","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"646","Klinik Desa Kampung Kenanga","48050 Rawang","Rawang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/646","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"652","Klinik Desa Kampung Kuantan","45600 Kuala Selangor","Kuala Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/652","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"666","Klinik Desa Kampung Medan","Kuala Langat","Kuala Langat","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/666","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"667","Klinik Desa Kampung Melayu Subang","Jln Merbau Kg. Melayu, Subang","Shah Alam","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/667","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"672","Klinik Desa Kampung Nenas","Jalan Kopi","Kapar","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/672","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"686","Klinik Desa Kampung Pendamar","JKR 1229A Kampung Pendamar","Klang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/686","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"716","Klinik Desa Kampung Sekendi","Jalan Batu 36","Sabak Bernam","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/716","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"727","Klinik Desa Kampung Sungai Lang","42700 Banting","Banting","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/727","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"729","Klinik Desa Kampung Sungai Pulai","Jalan Bagan Sg Pulai","Sabak Bernam","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/729","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"731","Klinik Desa Kampung Sungai Tengar","Jalan Besar Sg. Tengar","Sabak Bernam","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/731","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"744","Klinik Desa Kampung Tok Muda","Batu 12 1/2, Kampung Tok Muda","Kapar","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/744","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"749","Klinik Desa Kanchong Tengah","42700 Banting","Banting","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/749","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"771","Klinik Desa Kebun Baru","Kebun Baru, 42700 Banting","Banting","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/771","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"779","Klinik Desa Kelanang","42700 Banting","Banting","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/779","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"803","Klinik Desa Kerling","JKR NO 835","Kerling","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/803","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"815","Klinik Desa Kg Gurney","44300 Hulu Selangor","Hulu Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/815","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"907","Klinik Desa Kundang","48050 Rawang","Rawang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/907","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"908","Klinik Desa Kundang","42800 Tanjung Sepat","Tanjung Sepat","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/908","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"914","Klinik Desa Labohan Dagang","42700 Banting","Banting","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/914","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"983","Klinik Desa Lubuk Pusing","Jalan Pt. 13 Kg. Tok Khalifah","Sungai Besar","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/983","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1038","Klinik Desa Merbau Berdarah III","Jalan Sungai Panjang","Sungai Besar","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1038","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1039","Klinik Desa Merbau Sempak","Bt18, Jln Kuala Selangor","Sungai Buloh","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1039","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1043","Klinik Desa Minangkabau","43700 Beranang","Beranang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1043","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1047","Klinik Desa Morib","42700 Banting","Banting","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1047","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1074","Klinik Desa Olak Lempit","42700 Banting","Banting","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1074","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1089","Klinik Desa Padang Jawa","Jalan Padang","Klang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1089","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1156","Klinik Desa Parit 12","Jalan Parit 12 Timur","Sungai Besar","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1156","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1157","Klinik Desa Parit 4","Jalan Peket 20, Kampung Sg. Haji Dorani Jalan Pekan Selasa","Sungai Besar","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1157","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1158","Klinik Desa Parit 6","Jalan Parit 6 Timur","Sungai Besar","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1158","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1159","Klinik Desa Parit 9","Jalan Parit 9 Barat 45300 Sungai Besar","Sungai Besar","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1159","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1160","Klinik Desa Parit 9,","Jalan Parit 9, Kg. Sg. Leman","Sekinchan","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1160","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1165","Klinik Desa Parit Baru Baroh","Jalan Bagan Parit Baru Baroh","Sabak Bernam","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1165","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1171","Klinik Desa Parit Empat Ban 2","45500 Tanjung Karang","Sekinchan","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1171","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
