Negeri,PPD,KodSekolah,NamaSekolah,L,P,J
SELANGOR,PPD HULU LANGAT,BEA4624,SMK JALAN EMPAT,559,839,1398
SELANGOR,PPD HULU LANGAT,BEA4625,SMK KAJANG UTAMA,592,551,1143
SELANGOR,PPD HULU LANGAT,BEA4626,SMK TAMAN JASMIN 2,1215,1446,2661
SELANGOR,PPD HULU LANGAT,BEA4627,SMK DUSUN NANDING,963,955,1918
SELANGOR,PPD HULU LANGAT,BEA4628,SMK BANDAR TASIK KESUMA,1005,1001,2006
SELANGOR,PPD HULU LANGAT,BEA4629,SMK BANDAR DAMAI PERDANA,1190,1183,2373
SELANGOR,PPD HULU LANGAT,BEA4630,SMK BANDAR TUN HUSSEIN ONN 2,1137,1220,2357
SELANGOR,PPD HULU LANGAT,BEA4631,SMK PANDAN MEWAH,879,952,1831
SELANGOR,PPD HULU LANGAT,BEA4632,SMK BANDAR RINCHING,1153,1106,2259
SELANGOR,PPD HULU LANGAT,BEA4633,SMK BANDAR SERI PUTRA,1066,1086,2152
SELANGOR,PPD HULU LANGAT,BEA4634,SMK DESA SERDANG,397,363,760
SELANGOR,PPD HULU LANGAT,BEB4068,SMK  CONVENT (M),0,966,966
SELANGOR,PPD HULU LANGAT,BEB4069,SMK TINGGI KAJANG,1335,232,1567
SELANGOR,PPD HULU LANGAT,BEB4070,SMJK YU HUA,1673,1765,3438
SELANGOR,PPD HULU LANGAT,BEB4071,SMK JALAN BUKIT,888,1031,1919
SELANGOR,PPD HULU LANGAT,BFT4001,SAM HULU LANGAT,383,447,830
SELANGOR,PPD HULU LANGAT,BKA4001,KOLEJ VOKASIONAL KAJANG,550,100,650
SELANGOR,PPD HULU LANGAT,BRA4001,SMKA MAAHAD HAMIDIAH,354,681,1035
SELANGOR,PPD HULU LANGAT,BRA4003,SMA PERSEKUTUAN (SMBP),396,371,767
SELANGOR,PPD HULU SELANGOR,BBA5002,SK BATANG KALI,499,407,906
SELANGOR,PPD HULU SELANGOR,BBA5003,SK RASA,286,245,531
SELANGOR,PPD HULU SELANGOR,BBA5004,SK SG CHOH,264,227,491
SELANGOR,PPD HULU SELANGOR,BBA5005,SK SG SELISEK,115,98,213
SELANGOR,PPD HULU SELANGOR,BBA5006,SK ULU YAM BHARU,471,405,876
SELANGOR,PPD HULU SELANGOR,BBA5007,SK ULU YAM LAMA,58,63,121
SELANGOR,PPD HULU SELANGOR,BBA5008,SK HULU BERNAM,277,247,524
SELANGOR,PPD HULU SELANGOR,BBA5009,SK KUALA KUBU BHARU,125,121,246
SELANGOR,PPD HULU SELANGOR,BBA5010,SK KERLING,104,100,204
SELANGOR,PPD HULU SELANGOR,BBA5011,SK KALUMPANG,353,298,651
SELANGOR,PPD HULU SELANGOR,BBA5012,SK KG KUANTAN,110,105,215
SELANGOR,PPD HULU SELANGOR,BBA5013,SK GEDANGSA,140,141,281
SELANGOR,PPD HULU SELANGOR,BBA5014,SK SUNGAI BUAYA,218,225,443
SELANGOR,PPD HULU SELANGOR,BBA5015,SK KAMPUNG SOEHARTO,196,182,378
SELANGOR,PPD HULU SELANGOR,BBA5016,SK TUN ABDUL RAZAK,109,107,216
SELANGOR,PPD HULU SELANGOR,BBA5018,SK GESIR TENGAH,101,90,191
SELANGOR,PPD HULU SELANGOR,BBA5020,SK SG TENGI,187,184,371
SELANGOR,PPD HULU SELANGOR,BBA5021,SK SRI KELEDANG,50,63,113
SELANGOR,PPD HULU SELANGOR,BBA5022,SK SERENDAH,715,674,1389
SELANGOR,PPD HULU SELANGOR,BBA5023,SK BUKIT BERUNTUNG,705,704,1409
SELANGOR,PPD HULU SELANGOR,BBA5024,SK AMPANG PECAH,282,242,524
SELANGOR,PPD HULU SELANGOR,BBA5025,SK BANDAR BARU BATANG KALI,776,758,1534
SELANGOR,PPD HULU SELANGOR,BBA5026,SK BANDAR SUNGAI BUAYA,558,534,1092
SELANGOR,PPD HULU SELANGOR,BBA5027,SK SERI FAJAR,51,44,95
SELANGOR,PPD HULU SELANGOR,BBA5028,SK TAMAN BUNGA RAYA (1),853,785,1638
SELANGOR,PPD HULU SELANGOR,BBA5029,SK LEMBAH BERINGIN,58,79,137
SELANGOR,PPD HULU SELANGOR,BBA5030,SK BUKIT SENTOSA,1118,1051,2169
SELANGOR,PPD HULU SELANGOR,BBA5031,SK ANTARA GAPI,317,298,615
SELANGOR,PPD HULU SELANGOR,BBA5032,SK BUKIT BERUNTUNG 2,686,605,1291
SELANGOR,PPD HULU SELANGOR,BBA5033,SK TAMAN BUNGA RAYA 2,705,622,1327
SELANGOR,PPD HULU SELANGOR,BBB5021,SK KUALA KUBU BARU SATU,156,169,325
SELANGOR,PPD HULU SELANGOR,BBB5023,SK KUALA KUBU BHARU DUA,142,126,268
SELANGOR,PPD HULU SELANGOR,BBC5023,SJK(C) BATANG KALI,229,253,482
SELANGOR,PPD HULU SELANGOR,BBC5024,SJK(C) BKT TANGGA,232,198,430
SELANGOR,PPD HULU SELANGOR,BBC5027,SJK(C) CHOONG CHEE,102,75,177
SELANGOR,PPD HULU SELANGOR,BBC5028,SJK(C) BUKIT FRASER,2,0,2
SELANGOR,PPD HULU SELANGOR,BBC5029,SJK(C) KALUMPANG,113,105,218
SELANGOR,PPD HULU SELANGOR,BBC5030,SJK(C) KAMPUNG GURNEY,171,133,304
SELANGOR,PPD HULU SELANGOR,BBC5031,SJK(C) KERLING,83,85,168
SELANGOR,PPD HULU SELANGOR,BBC5032,SJK(C) KHING MING,172,165,337
SELANGOR,PPD HULU SELANGOR,BBC5035,SJK(C) RASA,146,116,262
