Negeri,PPD,KodSekolah,NamaSekolah,CountOfKPUtama
SELANGOR,PPD GOMBAK,BBA7101,SK SELAYANG BARU (2),66
SELANGOR,PPD GOMBAK,BBA7102,SK (2) TAMAN SELAYANG,67
SELANGOR,PPD GOMBAK,BBA7103,SK (2) TAMAN KERAMAT,34
SELANGOR,PPD GOMBAK,BBA7201,SK HULU KELANG,47
SELANGOR,PPD GOMBAK,BBA7202,SK KLANG GATE,29
SELANGOR,PPD GOMBAK,BBA7203,SK GOMBAK SETIA,86
SELANGOR,PPD GOMBAK,BBA7204,SK GOMBAK UTARA,63
SELANGOR,PPD GOMBAK,BBA7205,SK SG TUA BAHARU,101
SELANGOR,PPD GOMBAK,BBA7206,SK KEPONG,35
SELANGOR,PPD GOMBAK,BBA7207,SK RAWANG,39
SELANGOR,PPD GOMBAK,BBA7208,SK KUANG,89
SELANGOR,PPD GOMBAK,BBA7209,SK SG SERAI,37
SELANGOR,PPD GOMBAK,BBA7210,SK SG PELONG,107
SELANGOR,PPD GOMBAK,BBA7211,SK TAMAN KERAMAT (1),41
SELANGOR,PPD GOMBAK,BBA7212,SK SG BULUH,105
SELANGOR,PPD GOMBAK,BBA7213,SK TAMAN EHSAN,59
SELANGOR,PPD GOMBAK,BBA7214,SK TAMAN MELAWATI,85
SELANGOR,PPD GOMBAK,BBA7215,SK (1) TAMAN SELAYANG,70
SELANGOR,PPD GOMBAK,BBA7216,SK TAMAN SERI GOMBAK,132
SELANGOR,PPD GOMBAK,BBA7217,SK LEMBAH KERAMAT,78
SELANGOR,PPD GOMBAK,BBA7219,SK SELAYANG JAYA,56
SELANGOR,PPD GOMBAK,BBA7220,SK BANDAR BARU SELAYANG,44
SELANGOR,PPD GOMBAK,BBA7221,SK TAMAN SELASIH,79
SELANGOR,PPD GOMBAK,BBA7222,SK TAMAN PERMATA,55
SELANGOR,PPD GOMBAK,BBA7224,SK TAMAN MELAWATI 2,124
SELANGOR,PPD GOMBAK,BBA7225,SK SELAYANG UTAMA,42
SELANGOR,PPD GOMBAK,BBA7226,SK SUNGAI KERTAS,52
SELANGOR,PPD GOMBAK,BBA7227,SK TAMAN SAMUDRA,45
SELANGOR,PPD GOMBAK,BBA7228,SK SUNGAI PUSU,78
SELANGOR,PPD GOMBAK,BBA7229,SK TAMAN SETIA,46
SELANGOR,PPD GOMBAK,BBA7230,SK TAMAN DESA,105
SELANGOR,PPD GOMBAK,BBA7231,SK BUKIT RAWANG JAYA,61
SELANGOR,PPD GOMBAK,BBA7232,SK TAMAN BUKIT INDAH,101
SELANGOR,PPD GOMBAK,BBA7233,SK BUKIT RAHMAN PUTRA,95
SELANGOR,PPD GOMBAK,BBA7234,SK SERI KUNDANG,100
SELANGOR,PPD GOMBAK,BBA7235,SK TAMAN SERI GOMBAK 2,120
SELANGOR,PPD GOMBAK,BBA7236,SK TAMAN DESA 2,103
SELANGOR,PPD GOMBAK,BBA7237,SK BANDAR BARU RAWANG,49
SELANGOR,PPD GOMBAK,BBA7238,SK BANDAR TASIK PUTERI,143
SELANGOR,PPD GOMBAK,BBA7239,SK DESA AMANPURI,36
SELANGOR,PPD GOMBAK,BBA7240,SK TAMAN PRIMA SELAYANG,37
SELANGOR,PPD GOMBAK,BBA7241,SK BANDAR BARU SELAYANG (2),41
SELANGOR,PPD GOMBAK,BBA7242,SK TASIK PUTERI 2,97
SELANGOR,PPD GOMBAK,BBA7243,SK TAMAN TUN TEJA,106
SELANGOR,PPD GOMBAK,BBA8207,SK MERBAU SEMPAK,92
SELANGOR,PPD GOMBAK,BBA8226,SK BANDAR BARU SUNGAI BULOH,105
SELANGOR,PPD GOMBAK,BBB7301,SK (1) GOMBAK,57
SELANGOR,PPD GOMBAK,BBB7302,SK (2) GOMBAK,50
SELANGOR,PPD GOMBAK,BBB7303,SK (1) KUALA AMPANG,18
SELANGOR,PPD GOMBAK,BBB7304,SK (2) KUALA AMPANG,20
SELANGOR,PPD GOMBAK,BBB7305,SK (1) SELAYANG BARU,75
SELANGOR,PPD GOMBAK,BBB7306,SK SINARAN BUDI,60
SELANGOR,PPD GOMBAK,BBB7307,SK BATU ARANG,33
SELANGOR,PPD GOMBAK,BBC7401,SJK(C) CHAP KHUAN,26
SELANGOR,PPD GOMBAK,BBC7402,SJK(C) KHEOW BIN,98
SELANGOR,PPD GOMBAK,BBC7403,SJK(C) KUANG,32
SELANGOR,PPD GOMBAK,BBC7404,SJK(C) KUNDANG,41
SELANGOR,PPD GOMBAK,BBC7405,SJK(C) SAN YUK,115
SELANGOR,PPD GOMBAK,BBC7406,SJK(C) SELAYANG BARU,63
SELANGOR,PPD GOMBAK,BBC7407,SJK(C) DESA JAYA,169
SELANGOR,PPD GOMBAK,BBC7408,SJKC KOTA EMERALD,34
SELANGOR,PPD GOMBAK,BBD7451,SJK(T) BATU CAVES,83
SELANGOR,PPD GOMBAK,BBD7452,SJK(T) BATU ARANG,24
SELANGOR,PPD GOMBAK,BBD7453,SJK(T) KUANG,17
SELANGOR,PPD GOMBAK,BBD7454,SJK(T) BUKIT DARAH,20
SELANGOR,PPD GOMBAK,BBD7455,SJK(T) RAWANG,66
SELANGOR,PPD GOMBAK,BBD7456,SJK(T) TAMAN MELAWATI,27
SELANGOR,PPD GOMBAK,BBD8457,SJK(T) SARASWATHY,41
SELANGOR,PPD GOMBAK,BEA4619,SMK BUKIT INDAH,84
SELANGOR,PPD GOMBAK,BEA7601,SMK GOMBAK SETIA,173
SELANGOR,PPD GOMBAK,BEA7602,SMK TAMAN SELAYANG,107
SELANGOR,PPD GOMBAK,BEA7603,SMK LEMBAH KERAMAT,91
SELANGOR,PPD GOMBAK,BEA7604,SMK TAMAN EHSAN,144
SELANGOR,PPD GOMBAK,BEA7605,SMK RAWANG,146
SELANGOR,PPD GOMBAK,BEA7606,SMK TAMAN KERAMAT,73
SELANGOR,PPD GOMBAK,BEA7607,SMK SERI GOMBAK,113
SELANGOR,PPD GOMBAK,BEA7608,SMK HILLCREST,111
SELANGOR,PPD GOMBAK,BEA7609,SMK IDEAL HEIGHTS,125
SELANGOR,PPD GOMBAK,BEA7610,SMK TAMAN MELAWATI,138
SELANGOR,PPD GOMBAK,BEA7612,SMK SERI SELAYANG,96
SELANGOR,PPD GOMBAK,BEA7613,SMK SUNGAI KERTAS,87
SELANGOR,PPD GOMBAK,BEA7614,SMK SERI KERAMAT,75
SELANGOR,PPD GOMBAK,BEA7615,SMK DARUL EHSAN,154
SELANGOR,PPD GOMBAK,BEA7616,SMK SUNGAI PUSU,119
SELANGOR,PPD GOMBAK,BEA7617,SMK TAMAN DESA,109
SELANGOR,PPD GOMBAK,BEA7618,SMK BANDAR TASIK PUTERI,134
SELANGOR,PPD GOMBAK,BEA7619,SMK BUKIT RAHMAN PUTRA,137
SELANGOR,PPD GOMBAK,BEA7620,SMK SERI KUNDANG,81
SELANGOR,PPD GOMBAK,BEA7621,SMK TAMAN DESA 2,116
SELANGOR,PPD GOMBAK,BEA7622,SMK SIERRAMAS,64
SELANGOR,PPD GOMBAK,BEA7623,SMK TUN PERAK,55
SELANGOR,PPD GOMBAK,BEA8605,SMK BUKIT GADING,131
SELANGOR,PPD GOMBAK,BEA8620,SMK BANDAR BARU SUNGAI BULOH,148
SELANGOR,PPD GOMBAK,BEB7651,SMK KEPONG,151
SELANGOR,PPD GOMBAK,BEB7652,SMK HULU KELANG,42
SELANGOR,PPD GOMBAK,BEB7653,SMK SELAYANG BHARU,130
SELANGOR,PPD GOMBAK,BEB7654,SMK SERI GARING,158
SELANGOR,PPD GOMBAK,BEB7655,SMK TUANKU ABDUL RAHMAN,49
SELANGOR,PPD GOMBAK,BFT7001,SAM RAWANG,51
SELANGOR,PPD GOMBAK,BFT8001,SAM PAYA JARAS,41
SELANGOR,PPD GOMBAK,BHA7001,KOLEJ VOKASIONAL GOMBAK ,77
SELANGOR,PPD GOMBAK,BHA8002,KOLEJ VOKASIONAL SUNGAI BULOH,123
SELANGOR,PPD GOMBAK,BRA7001,SBPI RAWANG,60
SELANGOR,PPD GOMBAK,BRA7002,SBPI GOMBAK,59
SELANGOR,PPD HULU LANGAT,BBA4001,SK SUNGAI SERAI,67
SELANGOR,PPD HULU LANGAT,BBA4002,SK JALAN ENAM,121
SELANGOR,PPD HULU LANGAT,BBA4003,SK AMPANG CAMPURAN,84
SELANGOR,PPD HULU LANGAT,BBA4004,SK SERI SEKAMAT,99
SELANGOR,PPD HULU LANGAT,BBA4005,SK BATU SEMBILAN,52
SELANGOR,PPD HULU LANGAT,BBA4006,SK TUN ABD AZIZ MAJID,73
SELANGOR,PPD HULU LANGAT,BBA4007,SK SG TEKALI,27
SELANGOR,PPD HULU LANGAT,BBA4008,SK KUALA POMSON,17
SELANGOR,PPD HULU LANGAT,BBA4009,SK DUSUN TUA,48
SELANGOR,PPD HULU LANGAT,BBA4010,SK LUBOK KELUBI,35
SELANGOR,PPD HULU LANGAT,BBA4011,SK SUNGAI LUI,29
SELANGOR,PPD HULU LANGAT,BBA4012,SK LEFTENAN ADNAN,69
SELANGOR,PPD HULU LANGAT,BBA4013,SK SUNGAI RAMAL DALAM,68
SELANGOR,PPD HULU LANGAT,BBA4014,SK TAMAN NIRWANA,98
SELANGOR,PPD HULU LANGAT,BBA4015,SK KAJANG,49
SELANGOR,PPD HULU LANGAT,BBA4016,SK BERANANG,43
SELANGOR,PPD HULU LANGAT,BBA4017,SK KG KUALA PAJAM,17
SELANGOR,PPD HULU LANGAT,BBA4018,SK BANGI,54
SELANGOR,PPD HULU LANGAT,BBA4019,SEKOLAH KEBANGSAAN KG CHERAS BAHARU,48
SELANGOR,PPD HULU LANGAT,BBA4020,SK LEMBAH JAYA,78
SELANGOR,PPD HULU LANGAT,BBA4021,SK ULU SEMENYIH,49
SELANGOR,PPD HULU LANGAT,BBA4022,SK KG RINCING,29
SELANGOR,PPD HULU LANGAT,BBA4023,SK RINCHING HILIR,41
SELANGOR,PPD HULU LANGAT,BBA4024,SK AMPANG,81
SELANGOR,PPD HULU LANGAT,BBA4025,SK BANDAR BARU BANGI,93
SELANGOR,PPD HULU LANGAT,BBA4026,SK TAMAN TASIK,87
SELANGOR,PPD HULU LANGAT,BBA4027,SK SUNGAI KANTAN,72
SELANGOR,PPD HULU LANGAT,BBA4028,SK TAMAN MUDA,64
SELANGOR,PPD HULU LANGAT,BBA4029,SK TAMAN CUEPACS,60
SELANGOR,PPD HULU LANGAT,BBA4030,SK TAMAN KOSAS,91
SELANGOR,PPD HULU LANGAT,BBA4031,SK TAMING JAYA,133
SELANGOR,PPD HULU LANGAT,BBA4032,SK JALAN 3,115
SELANGOR,PPD HULU LANGAT,BBA4033,SK PANDAN INDAH,95
SELANGOR,PPD HULU LANGAT,BBA4034,SK BANDAR TUN HUSSEIN ONN,133
SELANGOR,PPD HULU LANGAT,BBA4035,SK PANDAN JAYA,44
SELANGOR,PPD HULU LANGAT,BBA4036,SK SAUJANA IMPIAN,68
SELANGOR,PPD HULU LANGAT,BBA4037,SK KAJANG UTAMA,91
SELANGOR,PPD HULU LANGAT,BBA4038,SK TAMAN RAKAN,97
SELANGOR,PPD HULU LANGAT,BBA4039,SK SRI JELOK,60
SELANGOR,PPD HULU LANGAT,BBA4040,SK CHERAS INDAH,51
SELANGOR,PPD HULU LANGAT,BBA4041,SK BUKIT RAYA,54
SELANGOR,PPD HULU LANGAT,BBA4042,SK TASEK PERMAI,38
SELANGOR,PPD HULU LANGAT,BBA4043,SK DESA BAIDURI,91
SELANGOR,PPD HULU LANGAT,BBA4044,SK TAMAN JASMIN,103
SELANGOR,PPD HULU LANGAT,BBA4045,SK JALAN EMPAT,120
SELANGOR,PPD HULU LANGAT,BBA4046,SK KANTAN PERMAI,97
SELANGOR,PPD HULU LANGAT,BBA4047,SK SEKSYEN 7,149
SELANGOR,PPD HULU LANGAT,BBA4048,SK PANDAN PERDANA,30
SELANGOR,PPD HULU LANGAT,BBA4049,SK SAUJANA IMPIAN (2),70
SELANGOR,PPD HULU LANGAT,BBA4050,SK CHERAS JAYA,74
SELANGOR,PPD HULU LANGAT,BBA4051,SK BANDAR TASIK KESUMA,120
SELANGOR,PPD HULU LANGAT,BBA4052,SK BANDAR RINCHING,141
SELANGOR,PPD HULU LANGAT,BBA4053,SK BANDAR TEKNOLOGI,91
SELANGOR,PPD HULU LANGAT,BBA4054,SK DUSUN NANDING,43
SELANGOR,PPD HULU LANGAT,BBA4055,SK BANDAR TUN HUSSEIN ONN 2,125
SELANGOR,PPD HULU LANGAT,BBA4056,SK TAMAN BUKIT TERATAI,47
SELANGOR,PPD HULU LANGAT,BBA4057,SK TAMAN PUTERI,27
SELANGOR,PPD HULU LANGAT,BBA4058,SK BANDAR SERI PUTRA,146
SELANGOR,PPD HULU LANGAT,BBA4060,SEKOLAH KEBANGSAAN BANDAR BUKIT MAHKOTA,52
SELANGOR,PPD HULU LANGAT,BBB4028,SK CONVENT (M),54
SELANGOR,PPD HULU LANGAT,BBB4029,SK JALAN BUKIT SATU,19
SELANGOR,PPD HULU LANGAT,BBB4030,SK (2) JALAN BUKIT,20
SELANGOR,PPD HULU LANGAT,BBB4031,SK JALAN SEMENYIH '1'(INTEG),39
SELANGOR,PPD HULU LANGAT,BBB4032,SK JALAN SEMENYIH '2'(INTEG),45
SELANGOR,PPD HULU LANGAT,BBB4033,SK SEMENYIH,112
SELANGOR,PPD HULU LANGAT,BBC4034,SJK(C) BALAKONG,70
SELANGOR,PPD HULU LANGAT,BBC4035,SJK(C) BATU 9 CHERAS,100
SELANGOR,PPD HULU LANGAT,BBC4036,SJK(C) BATU 11,133
SELANGOR,PPD HULU LANGAT,BBC4037,SJK(C) CHOON HWA,12
SELANGOR,PPD HULU LANGAT,BBC4039,SJK(C) KG BARU SEMENYIH,40
SELANGOR,PPD HULU LANGAT,BBC4040,SJK(C) SIN MING,65
SELANGOR,PPD HULU LANGAT,BBC4041,SJK(C) SUNGAI CHUA,75
SELANGOR,PPD HULU LANGAT,BBC4042,SJK(C) TON FAH,12
SELANGOR,PPD HULU LANGAT,BBC4043,SJK(C) BATU 14,25
SELANGOR,PPD HULU LANGAT,BBC4044,SJK(C) YOKE MIN,14
SELANGOR,PPD HULU LANGAT,BBC4045,SJK(C) YU HUA,108
SELANGOR,PPD HULU LANGAT,BBC4046,SJK(C) KG BARU AMPANG,73
SELANGOR,PPD HULU LANGAT,BBC4047,SJK(C) ON PONG,85
SELANGOR,PPD HULU LANGAT,BBC4048,SJK(C) CONNAUGHT (2),113
SELANGOR,PPD HULU LANGAT,BBC4049,SJK(C) ON PONG 2,101
SELANGOR,PPD HULU LANGAT,BBD4051,SJK(T) BANGI,14
SELANGOR,PPD HULU LANGAT,BBD4053,SJK(T) LDG DOMINION,10
SELANGOR,PPD HULU LANGAT,BBD4055,SJK(T) KAJANG,68
SELANGOR,PPD HULU LANGAT,BBD4057,SJK(T) LDG RINCHING,36
SELANGOR,PPD HULU LANGAT,BBD4060,SJK(T) LADANG SEMENYIH,30
SELANGOR,PPD HULU LANGAT,BBD4063,SJK(T) LDG WEST COUNTRY 'TIMUR',28
SELANGOR,PPD HULU LANGAT,BBD4064,SJK(T) AMPANG,35
SELANGOR,PPD HULU LANGAT,BEA4601,SMK TAMAN TASIK,153
SELANGOR,PPD HULU LANGAT,BEA4603,SMK BANDAR BARU BANGI,119
SELANGOR,PPD HULU LANGAT,BEA4604,SMK SULTAN ABDUL AZIZ SHAH (INTEG),163
SELANGOR,PPD HULU LANGAT,BEA4605,SMK KHIR JOHARI,59
SELANGOR,PPD HULU LANGAT,BEA4606,SMK ABDUL JALIL,150
SELANGOR,PPD HULU LANGAT,BEA4608,SMK ENGKU HUSAIN,168
SELANGOR,PPD HULU LANGAT,BEA4609,SMK TAMAN KOSAS,137
SELANGOR,PPD HULU LANGAT,BEA4610,SMK TAMAN SERAYA,106
SELANGOR,PPD HULU LANGAT,BEA4611,SMK PERIMBUN,147
SELANGOR,PPD HULU LANGAT,BEA4612,SMK TASEK PERMAI,63
SELANGOR,PPD HULU LANGAT,BEA4613,SMK JALAN REKO,135
SELANGOR,PPD HULU LANGAT,BEA4614,SMK JALAN TIGA,130
SELANGOR,PPD HULU LANGAT,BEA4615,SMK PANDAN JAYA,134
SELANGOR,PPD HULU LANGAT,BEA4616,SMK PANDAN INDAH,130
SELANGOR,PPD HULU LANGAT,BEA4617,SMK CHERAS PERDANA,107
SELANGOR,PPD HULU LANGAT,BEA4618,SMK DATO' AHMAD RAZALI,72
SELANGOR,PPD HULU LANGAT,BEA4620,SMK CHERAS JAYA,147
SELANGOR,PPD HULU LANGAT,BEA4621,SMK SAUJANA IMPIAN,164
SELANGOR,PPD HULU LANGAT,BEA4622,SMK BANDAR BARU AMPANG,82
SELANGOR,PPD HULU LANGAT,BEA4623,SMK BANDAR BARU SUNGAI LONG,183
SELANGOR,PPD HULU LANGAT,BEA4624,SMK JALAN EMPAT,91
SELANGOR,PPD HULU LANGAT,BEA4625,SMK KAJANG UTAMA,98
SELANGOR,PPD HULU LANGAT,BEA4626,SMK TAMAN JASMIN 2,151
SELANGOR,PPD HULU LANGAT,BEA4627,SMK DUSUN NANDING,126
SELANGOR,PPD HULU LANGAT,BEA4628,SMK BANDAR TASIK KESUMA,126
SELANGOR,PPD HULU LANGAT,BEA4629,SMK BANDAR DAMAI PERDANA,139
SELANGOR,PPD HULU LANGAT,BEA4630,SMK BANDAR TUN HUSSEIN ONN 2,158
SELANGOR,PPD HULU LANGAT,BEA4631,SMK PANDAN MEWAH,115
SELANGOR,PPD HULU LANGAT,BEA4632,SMK BANDAR RINCHING,148
SELANGOR,PPD HULU LANGAT,BEA4633,SMK BANDAR SERI PUTRA,125
SELANGOR,PPD HULU LANGAT,BEA4634,SMK DESA SERDANG,47
SELANGOR,PPD HULU LANGAT,BEB4068,SMK  CONVENT (M),63
SELANGOR,PPD HULU LANGAT,BEB4069,SMK TINGGI KAJANG,131
SELANGOR,PPD HULU LANGAT,BEB4070,SMJK YU HUA,181
SELANGOR,PPD HULU LANGAT,BEB4071,SMK JALAN BUKIT,125
SELANGOR,PPD HULU LANGAT,BFT4001,SAM HULU LANGAT,58
SELANGOR,PPD HULU LANGAT,BKA4001,KOLEJ VOKASIONAL KAJANG,98
SELANGOR,PPD HULU LANGAT,BRA4001,SMKA MAAHAD HAMIDIAH,75
SELANGOR,PPD HULU LANGAT,BRA4003,SMA PERSEKUTUAN (SMBP),70
SELANGOR,PPD HULU SELANGOR,BBA5002,SK BATANG KALI,60
SELANGOR,PPD HULU SELANGOR,BBA5003,SK RASA,41
SELANGOR,PPD HULU SELANGOR,BBA5004,SK SG CHOH,36
SELANGOR,PPD HULU SELANGOR,BBA5005,SK SG SELISEK,18
SELANGOR,PPD HULU SELANGOR,BBA5006,SK ULU YAM BHARU,54
SELANGOR,PPD HULU SELANGOR,BBA5007,SK ULU YAM LAMA,17
SELANGOR,PPD HULU SELANGOR,BBA5008,SK HULU BERNAM,51
SELANGOR,PPD HULU SELANGOR,BBA5009,SK KUALA KUBU BHARU,40
SELANGOR,PPD HULU SELANGOR,BBA5010,SK KERLING,22
SELANGOR,PPD HULU SELANGOR,BBA5011,SK KALUMPANG,47
SELANGOR,PPD HULU SELANGOR,BBA5012,SK KG KUANTAN,20
SELANGOR,PPD HULU SELANGOR,BBA5013,SK GEDANGSA,32
SELANGOR,PPD HULU SELANGOR,BBA5014,SK SUNGAI BUAYA,32
SELANGOR,PPD HULU SELANGOR,BBA5015,SK KAMPUNG SOEHARTO,36
SELANGOR,PPD HULU SELANGOR,BBA5016,SK TUN ABDUL RAZAK,21
SELANGOR,PPD HULU SELANGOR,BBA5018,SK GESIR TENGAH,19
SELANGOR,PPD HULU SELANGOR,BBA5020,SK SG TENGI,35
SELANGOR,PPD HULU SELANGOR,BBA5021,SK SRI KELEDANG,20
SELANGOR,PPD HULU SELANGOR,BBA5022,SK SERENDAH,93
SELANGOR,PPD HULU SELANGOR,BBA5023,SK BUKIT BERUNTUNG,93
SELANGOR,PPD HULU SELANGOR,BBA5024,SK AMPANG PECAH,49
SELANGOR,PPD HULU SELANGOR,BBA5025,SK BANDAR BARU BATANG KALI,98
SELANGOR,PPD HULU SELANGOR,BBA5026,SK BANDAR SUNGAI BUAYA,77
SELANGOR,PPD HULU SELANGOR,BBA5027,SK SERI FAJAR,17
SELANGOR,PPD HULU SELANGOR,BBA5028,SK TAMAN BUNGA RAYA (1),106
SELANGOR,PPD HULU SELANGOR,BBA5029,SK LEMBAH BERINGIN,19
SELANGOR,PPD HULU SELANGOR,BBA5030,SK BUKIT SENTOSA,126
SELANGOR,PPD HULU SELANGOR,BBA5031,SK ANTARA GAPI,42
SELANGOR,PPD HULU SELANGOR,BBA5032,SK BUKIT BERUNTUNG 2,79
SELANGOR,PPD HULU SELANGOR,BBA5033,SK TAMAN BUNGA RAYA 2,84
SELANGOR,PPD HULU SELANGOR,BBB5021,SK KUALA KUBU BARU SATU,32
SELANGOR,PPD HULU SELANGOR,BBB5023,SK KUALA KUBU BHARU DUA,29
SELANGOR,PPD HULU SELANGOR,BBC5023,SJK(C) BATANG KALI,28
SELANGOR,PPD HULU SELANGOR,BBC5024,SJK(C) BKT TANGGA,23
SELANGOR,PPD HULU SELANGOR,BBC5027,SJK(C) CHOONG CHEE,15
SELANGOR,PPD HULU SELANGOR,BBC5028,SJK(C) BUKIT FRASER,3
SELANGOR,PPD HULU SELANGOR,BBC5029,SJK(C) KALUMPANG,20
SELANGOR,PPD HULU SELANGOR,BBC5030,SJK(C) KAMPUNG GURNEY,22
SELANGOR,PPD HULU SELANGOR,BBC5031,SJK(C) KERLING,13
SELANGOR,PPD HULU SELANGOR,BBC5032,SJK(C) KHING MING,27
SELANGOR,PPD HULU SELANGOR,BBC5035,SJK(C) RASA,24
SELANGOR,PPD HULU SELANGOR,BBC5037,SJK(C) SERENDAH,32
SELANGOR,PPD HULU SELANGOR,BBD5041,SJK(T) LADANG BATANG KALI,22
SELANGOR,PPD HULU SELANGOR,BBD5043,SJK(T) LDG CHANGKAT ASA,10
SELANGOR,PPD HULU SELANGOR,BBD5044,SJK(T) LDG ESCOT,10
SELANGOR,PPD HULU SELANGOR,BBD5045,SJK(T) KUALA KUBU BHARU,28
SELANGOR,PPD HULU SELANGOR,BBD5047,SJK(T) LADANG KERLING,12
SELANGOR,PPD HULU SELANGOR,BBD5048,SJK(T) LADANG KALUMPANG,11
SELANGOR,PPD HULU SELANGOR,BBD5051,SJK(T) LDG LIMA BELAS,7
SELANGOR,PPD HULU SELANGOR,BBD5058,SJK(T) LDG SG CHOH,30
SELANGOR,PPD HULU SELANGOR,BBD5059,SJK(T) BUKIT BERUNTUNG,25
SELANGOR,PPD HULU SELANGOR,BEA5061,SMK KUALA KUBU BHARU,100
SELANGOR,PPD HULU SELANGOR,BEA5062,SMK KAMPONG SOEHARTO,48
SELANGOR,PPD HULU SELANGOR,BEA5063,SMK SUNGAI CHOH,69
SELANGOR,PPD HULU SELANGOR,BEA5064,SMK KALUMPANG,48
SELANGOR,PPD HULU SELANGOR,BEA5065,SMK GEDANGSA,36
SELANGOR,PPD HULU SELANGOR,BEA5066,SMK BUKIT SENTOSA,131
SELANGOR,PPD HULU SELANGOR,BEA5067,SM SAINS HULU SELANGOR,66
SELANGOR,PPD HULU SELANGOR,BEA5068,SMK AMPANG PECAH,75
SELANGOR,PPD HULU SELANGOR,BEA5069,SMK BANDAR BARU BATANG KALI,112
SELANGOR,PPD HULU SELANGOR,BEA5070,SMK BANDAR SUNGAI BUAYA,70
SELANGOR,PPD HULU SELANGOR,BEA5071,SMK TAMAN BUNGA RAYA (1),127
SELANGOR,PPD HULU SELANGOR,BEA5072,SMK SERENDAH,116
SELANGOR,PPD HULU SELANGOR,BEA5073,SMK BUKIT SENTOSA 2,107
SELANGOR,PPD HULU SELANGOR,BEB5065,SMK SYED MASHOR,118
SELANGOR,PPD HULU SELANGOR,BEB5066,SMK DATO' HJ KAMARUDDIN,56
SELANGOR,PPD HULU SELANGOR,BFT5001,SAM SUNGAI SELISEK,27
SELANGOR,PPD HULU SELANGOR,BFT5002,SAMT KUALA KUBU BHARU,62
SELANGOR,PPD KLANG,BBA0001,SK KLANG,55
SELANGOR,PPD KLANG,BBA0002,SK TELOK GADONG,107
SELANGOR,PPD KLANG,BBA0003,SK PELABUHAN KELANG,57
SELANGOR,PPD KLANG,BBA0004,SK TELOK MENEGON,79
SELANGOR,PPD KLANG,BBA0005,SK BUKIT NAGA,94
SELANGOR,PPD KLANG,BBA0006,SK JALAN KEBUN,104
SELANGOR,PPD KLANG,BBA0007,SK BATU BELAH,86
SELANGOR,PPD KLANG,BBA0008,SK RANTAU PANJANG,175
SELANGOR,PPD KLANG,BBA0009,SK SEMENTA,109
SELANGOR,PPD KLANG,BBA0010,SK KAPAR,59
SELANGOR,PPD KLANG,BBA0011,SK BUKIT KAPAR,110
SELANGOR,PPD KLANG,BBA0012,SK SUNGAI BINJAI,184
SELANGOR,PPD KLANG,BBA0013,SK PULAU INDAH,83
SELANGOR,PPD KLANG,BBA0014,SK TOK MUDA,41
SELANGOR,PPD KLANG,BBA0015,SK BUKIT KUDA,29
SELANGOR,PPD KLANG,BBA0016,SK KG RAJA UDA,50
SELANGOR,PPD KLANG,BBA0017,SK PANDAMARAN JAYA,68
SELANGOR,PPD KLANG,BBA0018,SK KG JOHAN SETIA,77
SELANGOR,PPD KLANG,BBA0019,SK SUNGAI SERDANG,42
SELANGOR,PPD KLANG,BBA0021,SK KG PENDAMAR,54
SELANGOR,PPD KLANG,BBA0022,SK TELOK GONG,75
SELANGOR,PPD KLANG,BBA0023,SK TAMAN KLANG JAYA,93
SELANGOR,PPD KLANG,BBA0025,SK TELOK PULAI,79
SELANGOR,PPD KLANG,BBA0026,SK SUNGAI UDANG,113
SELANGOR,PPD KLANG,BBA0028,SK PELABUHAN  UTARA,97
SELANGOR,PPD KLANG,BBA0029,SK ABDUL SAMAT,67
SELANGOR,PPD KLANG,BBA0030,SK MERU,104
SELANGOR,PPD KLANG,BBA0031,SK KAMPUNG IDAMAN,86
SELANGOR,PPD KLANG,BBA0032,SK TAMAN KLANG UTAMA,80
SELANGOR,PPD KLANG,BBA0033,SK KAMPUNG JAWA,69
SELANGOR,PPD KLANG,BBA0034,SK TAMAN SRI ANDALAS,116
SELANGOR,PPD KLANG,BBA0035,SK TAMAN GEMBIRA,32
SELANGOR,PPD KLANG,BBA0036,SK BUKIT TINGGI,69
SELANGOR,PPD KLANG,BBA0037,SK BUKIT KEMUNING 2,77
SELANGOR,PPD KLANG,BBA0038,SK MERU (2),89
SELANGOR,PPD KLANG,BBA0039,SK SUNGAI KAPAR INDAH,66
SELANGOR,PPD KLANG,BBA0040,SK BUKIT KEMUNING,54
SELANGOR,PPD KLANG,BBA0041,SK KAMPUNG JAWA 2,76
SELANGOR,PPD KLANG,BBA0042,SK PULAU INDAH (2),43
SELANGOR,PPD KLANG,BBA0043,SK BUKIT RIMAU,109
SELANGOR,PPD KLANG,BBA0044,SK BATU UNJUR,105
SELANGOR,PPD KLANG,BBA3030,SK BUKIT CERAKA,27
SELANGOR,PPD KLANG,BBB0024,SK METHODIST ACS,51
SELANGOR,PPD KLANG,BBB0025,SK (1) JALAN BATU TIGA,32
SELANGOR,PPD KLANG,BBB0026,SK (2) JALAN BATU TIGA,21
SELANGOR,PPD KLANG,BBB0027,SK CONVENT (1) (M),29
SELANGOR,PPD KLANG,BBB0028,SK CONVENT (2) (M),28
SELANGOR,PPD KLANG,BBB0029,SK LA SALLE,29
SELANGOR,PPD KLANG,BBB0030,SK (1) JALAN MERU,33
SELANGOR,PPD KLANG,BBB0031,SK (2) JALAN MERU,30
