Bil,Peringkat Sekolah,PPD,Kod Sekolah,NamaSekolah,AlamatSurat,PoskodSurat,BandarSurat,Negeri,NoTelefon,NoFax,CountOfKPUtama,TOTAL_STUDENT,RATIO_STUDENT_RATIO,Lat,Lng
1139,Rendah,PPD KLANG,BBA0043,SK BUKIT RIMAU,"11 PERSIARAN SUNGAI SELANGOR, SEKSYEN 32",40460,SHAH ALAM,SELANGOR,0351224148,0351224148,109,1737,15.93577982,2.996254,101.524803
1140,Rendah,PPD KLANG,BBA0044,SK BATU UNJUR,JALAN BATU NILAM 1/KS 6,41200,KLANG,SELANGOR,0333263063,0333263064,105,1390,13.23809524,2.967008,101.490712
1141,Rendah,PPD KUALA LANGAT,BBA1002,SK SUNGAI BUAYA,KAMPUNG SUNGAI BUAYA,42700,BANTING,SELANGOR,0331202514,0331202514,44,573,13.02272727,2.8397724,101.463657
1142,Rendah,PPD KUALA LANGAT,BBA1003,SK BANDAR,"JALAN ISTANA, KAMPUNG BANDAR",42700,BANTING,SELANGOR,0331202645,0331202645,31,318,10.25806452,2.8619472,101.4407545
1143,Rendah,PPD KUALA LANGAT,BBA1004,SK SUNGAI MANGGIS,KAMPONG SUNGAI MANGGIS,42700,BANTING,SELANGOR,0331875481,0331875481,31,417,13.4516129,2.826059,101.536619
1144,Rendah,PPD KUALA LANGAT,BBA1005,SK OLAK LEMPIT,KAMPUNG OLAK LEMPIT,42700,BANTING,SELANGOR,0331491381,0331491381,65,875,13.46153846,2.83102,101.5991187
1145,Rendah,PPD KUALA LANGAT,BBA1006,SK LABOHAN DAGANG,KG. LABOHAN DAGANG,42700,BANTING,SELANGOR,0331493776,0331493776,44,571,12.97727273,2.826211,101.621731
1146,Rendah,PPD KUALA LANGAT,BBA1007,SK BKT CHANGGANG,"KG. BUKIT CHANGGANG,BANTING, KUALA LANGAT",42700,BANTING,SELANGOR,0331491141,0331491141,70,1012,14.45714286,2.830444,101.628456
1147,Rendah,PPD KUALA LANGAT,BBA1008,SK JENJAROM,JALAN SEKOLAH,42600,JENJAROM,SELANGOR,0331914336,0331911948,71,1084,15.26760563,2.8826873,101.5196769
1148,Rendah,PPD KUALA LANGAT,BBA1009,SK TELOK PANGLIMA GARANG,PEKAN TELOK,42500,TELOK PANGLIMA GARANG,SELANGOR,0331228453,0331228453,81,1173,14.48148148,2.909686,101.468448
1149,Rendah,PPD KUALA LANGAT,BBA1010,SK KEBUN BAHARU,KAMPUNG KEBUN BAHARU,42500,TELOK PANGLIMA GARANG,SELANGOR,0331228415,0331220500,91,1775,19.50549451,2.909686,101.468448
1150,Rendah,PPD KUALA LANGAT,BBA1011,SK SIJANGKANG,KG SIJANGKANG,42500,TELOK PANGLIMA GARANG,SELANGOR,0331226158,0331227680,84,1446,17.21428571,2.909686,101.468448
1151,Rendah,PPD KUALA LANGAT,BBA1012,SK SG  BUMBUN (A),PULAU CAREY,42960,KUALA LANGAT,SELANGOR,0331850423,TIADA,17,170,10,2.8213219,101.3658004
